Chromosome,Arm,Band,Abnormality,CaseCount,Type,Morph_code
10,q,22,del,4,unbalanced,3111
10,q,22,del,3,unbalanced,3111
10,q,22,del,3,unbalanced,3131
10,q,26,add,3,unbalanced,1501
10,q,22,del,2,unbalanced,5220
10,q,22,add,2,unbalanced,8325
10,q,22,del,2,unbalanced,8516
10,q,22,del,3,unbalanced,8304
10,q,22,del,2,unbalanced,1702
10,q,23,del,4,unbalanced,1602
10,q,23,del,2,unbalanced,1101
10,q,23,del,2,unbalanced,1802
10,q,23,t,2,balanced,1810
10,q,23,t,2,balanced,1104
10,q,23,del,3,unbalanced,1926
10,q,23,del,2,unbalanced,3111
10,q,23,del,2,unbalanced,3111
10,q,23,del,2,unbalanced,8501
10,q,23,del,2,unbalanced,1602
10,q,23,del,2,unbalanced,1810
10,q,23,del,2,unbalanced,1602
10,q,22,del,3,unbalanced,1602
10,q,23,del,2,unbalanced,1801
10,q,10,i,3,unbalanced,3121
10,q,10,i,3,unbalanced,3121
10,q,10,i,2,unbalanced,3121
10,q,23,del,2,unbalanced,1902
10,q,10,i,2,unbalanced,3121
10,q,10,i,3,unbalanced,3111
10,q,10,i,3,unbalanced,3111
10,q,22,dup,2,unbalanced,1810
10,q,22,der,2,unbalanced,8813
10,q,22,der,2,unbalanced,1810
10,q,22,der,2,unbalanced,1101
10,q,22,del,2,unbalanced,1810
10,q,23,del,2,unbalanced,1802
10,q,22,del,2,unbalanced,8813
10,q,22,del,2,unbalanced,5104
10,q,22,del,3,unbalanced,1101
10,q,22,t,3,balanced,1101
10,q,22,t,5,balanced,1107
10,q,22,del,2,unbalanced,1802
10,q,22,t,2,balanced,8004
10,q,22,t,3,balanced,8304
10,q,22,t,4,balanced,1802
10,q,22,t,2,balanced,1802
10,q,22,t,2,balanced,8531
10,q,22,t,16,balanced,8813
10,q,22,t,2,balanced,8813
10,q,22,t,2,balanced,8522
10,q,22,t,2,balanced,1602
10,q,22,t,2,balanced,1203
10,q,22,add,8,unbalanced,1101
10,q,26,ins,2,balanced,8619
10,q,26,t,2,balanced,1810
10,q,26,t,2,balanced,1101
10,q,26,t,4,balanced,1802
10,q,26,t,2,balanced,1602
10,q,26,t,2,balanced,1202
10,q,26,t,5,balanced,1203
10,q,26,add,6,unbalanced,1101
10,q,26,add,2,unbalanced,1106
10,q,26,add,2,unbalanced,1112
10,q,26,add,3,unbalanced,1113
10,q,22,t,4,balanced,1203
10,q,22,t,9,balanced,1203
10,q,22,t,2,balanced,1602
10,q,22,t,3,balanced,1602
10,q,22,del,5,unbalanced,1602
10,q,22,del,6,unbalanced,1802
10,q,22,del,28,unbalanced,1810
10,q,22,del,3,unbalanced,1816
10,q,10,i,4,unbalanced,3111
10,q,10,i,2,unbalanced,3104
10,q,10,i,2,unbalanced,1820
10,q,10,i,2,unbalanced,1702
10,q,22,t,2,balanced,1203
10,q,10,i,2,unbalanced,1602
10,q,10,i,2,unbalanced,1101
10,q,10,der,2,unbalanced,1801
10,q,10,der,3,unbalanced,3121
10,p,10,der,2,unbalanced,1113
10,q,22,t,2,balanced,1602
10,q,22,t,2,balanced,3003
10,q,22,t,4,balanced,8619
10,q,22,t,8,balanced,8304
10,q,10,der,2,unbalanced,1702
10,q,22,t,2,balanced,1808
10,q,22,t,2,balanced,1303
10,q,22,inv,2,balanced,1602
10,q,10,der,2,unbalanced,3111
10,q,10,der,2,unbalanced,8522
10,q,10,der,2,unbalanced,3121
10,q,22,t,2,balanced,1802
11,q,21,t,22,balanced,1602
11,q,22,der,2,unbalanced,3121
11,q,21,t,2,balanced,1108
11,q,22,der,2,unbalanced,1104
11,q,22,del,8,unbalanced,1802
11,q,22,der,2,unbalanced,1101
11,q,22,del,2,unbalanced,5213
11,q,21,t,5,balanced,1108
11,q,22,der,2,unbalanced,1101
11,q,21,t,3,balanced,1103
11,q,22,add,2,unbalanced,1702
11,q,21,t,8,balanced,1101
11,q,21,t,6,balanced,1602
11,q,21,t,2,balanced,1108
11,q,21,inv,2,balanced,3111
11,q,21,inv,4,balanced,1602
11,q,21,inv,2,balanced,1113
11,q,21,inv,3,balanced,1101
11,q,21,inv,2,balanced,1202
11,q,21,ins,2,balanced,1108
11,q,22,del,7,unbalanced,1602
11,q,21,t,4,balanced,1102
11,q,22,del,2,unbalanced,1101
11,q,21,del,2,unbalanced,1107
11,q,22,del,2,unbalanced,1602
11,q,21,del,32,unbalanced,1802
11,q,21,del,3,unbalanced,1801
11,q,21,del,7,unbalanced,1702
11,q,21,del,16,unbalanced,1602
11,q,21,del,2,unbalanced,1509
11,q,21,del,3,unbalanced,1505
11,q,21,del,3,unbalanced,1501
11,q,21,del,2,unbalanced,1113
11,q,21,del,4,unbalanced,1108
11,q,21,del,2,unbalanced,1102
11,q,21,del,9,unbalanced,1101
11,q,21,del,2,unbalanced,5104
11,q,21,del,3,unbalanced,1802
11,q,21,del,4,unbalanced,8810
11,q,21,del,2,unbalanced,8740
11,q,21,del,2,unbalanced,8522
11,q,21,del,4,unbalanced,8310
11,q,21,del,2,unbalanced,5104
11,q,21,del,3,unbalanced,3111
11,q,21,del,2,unbalanced,1906
11,q,21,del,4,unbalanced,1902
11,q,21,del,3,unbalanced,1820
11,q,21,del,2,unbalanced,1816
11,q,21,del,26,unbalanced,1802
11,q,21,del,6,unbalanced,1801
11,q,21,del,7,unbalanced,1702
11,q,21,del,26,unbalanced,1602
11,q,21,del,2,unbalanced,1509
11,q,21,del,2,unbalanced,1507
11,q,21,del,5,unbalanced,1808
11,q,21,del,3,unbalanced,1810
11,q,21,del,3,unbalanced,1820
11,q,21,del,2,unbalanced,1922
11,q,22,add,2,unbalanced,1801
11,q,22,add,3,unbalanced,1802
11,q,22,add,2,unbalanced,1808
11,q,22,add,4,unbalanced,1820
11,q,22,add,2,unbalanced,1822
11,q,22,add,2,unbalanced,8516
11,q,22,del,2,unbalanced,1104
11,q,22,del,2,unbalanced,1501
11,q,22,del,3,unbalanced,1802
11,q,22,del,3,unbalanced,1802
11,q,22,del,2,unbalanced,5104
11,q,22,del,4,unbalanced,1101
11,q,22,del,2,unbalanced,1104
11,q,22,del,3,unbalanced,1108
11,q,21,del,5,unbalanced,1501
11,q,22,del,4,unbalanced,1402
11,q,22,add,3,unbalanced,1101
11,q,22,t,7,balanced,1602
11,q,22,inv,3,balanced,1107
11,q,22,inv,7,balanced,1101
11,q,21,dup,2,unbalanced,1820
11,q,21,der,3,unbalanced,1808
11,q,21,der,2,unbalanced,1602
11,q,21,der,2,unbalanced,1802
11,q,21,der,2,unbalanced,1602
11,q,21,del,15,unbalanced,1802
11,q,21,del,4,unbalanced,1101
11,q,21,del,13,unbalanced,1802
11,q,21,del,3,unbalanced,1101
11,q,21,del,2,unbalanced,3135
11,q,22,add,2,unbalanced,1113
11,q,22,del,9,unbalanced,1802
11,q,21,del,2,unbalanced,1402
11,q,21,del,2,unbalanced,1113
11,q,21,t,4,balanced,1812
11,q,21,t,10,balanced,1812
11,q,21,t,7,balanced,1812
11,q,21,t,5,balanced,1802
11,q,21,t,2,balanced,1902
11,q,21,t,3,balanced,1802
11,q,21,t,2,balanced,1602
11,q,21,t,2,balanced,1101
11,q,21,t,3,balanced,1602
11,q,21,t,2,balanced,1117
11,q,22,del,18,unbalanced,1602
11,q,22,del,3,unbalanced,1702
11,q,22,del,28,unbalanced,1802
11,q,22,del,2,unbalanced,1806
11,q,22,del,3,unbalanced,1820
11,q,22,del,2,unbalanced,3107
11,q,22,del,6,unbalanced,3111
11,q,22,del,3,unbalanced,3121
11,q,22,del,2,unbalanced,5220
11,q,22,del,2,unbalanced,8310
11,q,22,del,3,unbalanced,8541
11,q,22,del,2,unbalanced,1101
11,q,22,del,6,unbalanced,1602
11,q,22,del,2,unbalanced,1702
11,q,22,del,2,unbalanced,1801
11,q,22,del,33,unbalanced,1802
11,q,22,del,3,unbalanced,1902
11,q,22,del,2,unbalanced,1104
11,q,22,del,2,unbalanced,1108
11,q,21,t,3,balanced,1812
11,q,21,t,7,balanced,3115
11,q,21,add,4,unbalanced,1101
11,q,21,add,3,unbalanced,1112
11,q,21,del,2,unbalanced,1112
11,q,21,del,6,unbalanced,1108
11,q,22,add,4,unbalanced,1602
11,q,21,del,2,unbalanced,1104
11,q,21,del,2,unbalanced,1103
11,q,21,del,2,unbalanced,1102
11,q,21,del,12,unbalanced,1101
11,q,21,del,2,unbalanced,1020
11,q,21,del,2,unbalanced,1818
11,q,21,del,2,unbalanced,1818
11,q,21,del,3,unbalanced,8522
11,q,21,del,2,unbalanced,1820
11,q,21,del,4,unbalanced,1802
11,q,21,del,3,unbalanced,1702
11,q,21,del,3,unbalanced,1202
11,q,21,del,2,unbalanced,1602
11,q,21,del,2,unbalanced,1113
11,q,21,add,2,unbalanced,8304
11,q,21,add,3,unbalanced,3135
11,q,21,add,2,unbalanced,3121
11,q,21,add,2,unbalanced,3121
11,q,21,add,2,unbalanced,3121
11,q,21,add,4,unbalanced,3111
11,q,21,add,3,unbalanced,3111
11,q,21,add,2,unbalanced,1906
11,q,21,add,2,unbalanced,1810
11,q,21,add,5,unbalanced,1802
11,q,21,add,2,unbalanced,1702
11,q,21,add,8,unbalanced,1602
11,q,21,add,2,unbalanced,1113
11,q,21,del,2,unbalanced,1403
11,q,22,t,2,balanced,1101
11,q,22,del,2,unbalanced,1509
11,q,23,ins,4,balanced,1602
11,p,11,del,2,unbalanced,8522
11,p,11,del,4,unbalanced,8541
11,p,11,del,3,unbalanced,8710
11,p,11,del,5,unbalanced,8734
